type,category,meal,source,section,ingredient,amount,units,notes
dinner,Asian,Korean BBQ Oyster Mushroom Rice Bowl,https://www.instagram.com/reel/CrGFuuCKXlD/,Base,Oyster Mushrooms,4,punnets,
dinner,Asian,Korean BBQ Oyster Mushroom Rice Bowl,https://www.instagram.com/reel/CrGFuuCKXlD/,Base,Korean BBQ Sauce,250,ml,
dinner,Asian,Korean BBQ Oyster Mushroom Rice Bowl,https://www.instagram.com/reel/CrGFuuCKXlD/,Base,Water,100,ml,
dinner,Asian,Korean BBQ Oyster Mushroom Rice Bowl,https://www.instagram.com/reel/CrGFuuCKXlD/,Base,Sticky Rice,250,g,
dinner,Asian,Korean BBQ Oyster Mushroom Rice Bowl,https://www.instagram.com/reel/CrGFuuCKXlD/,Garnish,Cucumber,0.5,whole,
dinner,Asian,Korean BBQ Oyster Mushroom Rice Bowl,https://www.instagram.com/reel/CrGFuuCKXlD/,Seasoning,Sugar,0.25,tsp,
dinner,Asian,Korean BBQ Oyster Mushroom Rice Bowl,https://www.instagram.com/reel/CrGFuuCKXlD/,Seasoning,Salt,0.25,tsp,
dinner,Asian,Korean BBQ Oyster Mushroom Rice Bowl,https://www.instagram.com/reel/CrGFuuCKXlD/,Seasoning,Rice Wine Vinegar,2,tsp,
dinner,Asian,Korean BBQ Oyster Mushroom Rice Bowl,https://www.instagram.com/reel/CrGFuuCKXlD/,Garnish,Spring Onion,1,bunch,to taste
dinner,Asian,Korean BBQ Oyster Mushroom Rice Bowl,https://www.instagram.com/reel/CrGFuuCKXlD/,Garnish,Sesame Seeds,1,tbsp,to taste
dinner,Asian,Korean BBQ Oyster Mushroom Rice Bowl,https://www.instagram.com/reel/CrGFuuCKXlD/,Garnish,Kimchi,3,tbsp,
