type,category,meal,source,section,ingredient,amount,units,notes
dessert,dessert,souffles corn,Obsidian Recipe Database Noah,dairy,butter,118,ml,Imported by Noah | Substitute heavy coconut milk for evaporated milk | Egg replacer option
dessert,dessert,souffles corn,Obsidian Recipe Database Noah,pantry,sugar,118,ml,Imported by Noah | Substitute heavy coconut milk for evaporated milk | Egg replacer option
dessert,dessert,souffles corn,Obsidian Recipe Database Noah,dairy,evaporated milk,118,ml,Imported by Noah | Substitute heavy coconut milk for evaporated milk | Egg replacer option
dessert,dessert,souffles corn,Obsidian Recipe Database Noah,dairy,eggs,2,items,Imported by Noah | Substitute heavy coconut milk for evaporated milk | Egg replacer option
dessert,dessert,souffles corn,Obsidian Recipe Database Noah,pantry,vanilla extract,0.5,tsp,Imported by Noah | Substitute heavy coconut milk for evaporated milk | Egg replacer option
dessert,dessert,souffles corn,Obsidian Recipe Database Noah,pantry,corn niblets,680,g,Imported by Noah | Substitute heavy coconut milk for evaporated milk | Egg replacer option
dessert,dessert,souffles corn,Obsidian Recipe Database Noah,pantry,cinnamon,1,tsp,Imported by Noah | Substitute heavy coconut milk for evaporated milk | Egg replacer option
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,produce,sweet potato,4,cups,Roast at 350F for 30 mins | Cubed to 0.5 inch
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,pantry,olive oil,1,T,Used for roasting
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,pantry,olive oil,2,tsp,Used for sautéing
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,pantry,sea salt,0.5,tsp,NA
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,bulk barn,walnuts,1,c,Toasted for 5 mins until golden brown
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,produce,onion,0.67,c,Finely chopped
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,produce,garlic,3,T,6-7 cloves | Sautéed until softened
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,pantry,black beans,2,tins,14 oz tins | Drained and rinsed
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,pantry,paprika,1,tsp,Part of 9-spice mix
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,pantry,garlic powder,1,tsp,Part of 9-spice mix
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,pantry,onion powder,1,tsp,Part of 9-spice mix
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,pantry,salt,1,tsp,Part of 9-spice mix
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,pantry,oregano,0.5,tsp,Part of 9-spice mix
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,pantry,black pepper,0.5,tsp,Part of 9-spice mix
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,pantry,turmeric,0.25,tsp,Part of 9-spice mix
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,pantry,thyme,0.25,tsp,Part of 9-spice mix
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,pantry,smoked paprika,0.25,tsp,Part of 9-spice mix
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,produce,parsley,0.25,c,Fresh flat-leaf | Chopped
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,pantry,bbq sauce,0.33,c,NA
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,pantry,breadcrumbs,1,c,NA
dinner,vegetarian main,black bean burgers,Obsidian Recipe Database Noah,pantry,oatmeal,2,T,NA
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,pantry,olive oil,1,T,
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,produce,yellow onion,1,items,Chopped small
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,produce,garlic,5,cloves,Minced
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,produce,ginger,1,T,Peeled and grated
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,pantry,garam masala,1,T,
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,pantry,ground turmeric,1,tsp,
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,pantry,red pepper chili flakes,0.5,tsp,
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,pantry,red lentils,1.5,c,Dried
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,pantry,diced tomatoes,14,oz,Canned
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,pantry,coconut milk,13.5,oz,Full fat, canned
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,pantry,vegetable broth,3,c,
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,pantry,salt,1,tsp,To taste
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,produce,lemon,0.5,items,Juiced
dinner,bean and lentil dishes,red lentil dahl,https://www.noracooks.com/red-lentil-dahl/,produce,baby spinach,3,c,
dinner,bean and lentil dishes,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,guajillo chili peppers,2,items,
dinner,bean and lentil dishes,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,olive oil,2,T,Extra-virgin
dinner,bean and lentil dishes,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,produce,white onion,1,items,Finely chopped
dinner,bean and lentil dishes,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,produce,garlic,4,cloves,Pressed or minced
dinner,bean and lentil dishes,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,ground cumin,1,T,
dinner,bean and lentil dishes,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,tomato paste,0.5,c,
dinner,bean and lentil dishes,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,bay leaf,1,items,
dinner,bean and lentil dishes,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,pinto beans,3,cans,15 oz each, rinsed and drained
dinner,bean and lentil dishes,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,hominy,1,can,15 oz, rinsed and drained
dinner,bean and lentil dishes,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,vegetable broth,4,c,
dinner,bean and lentil dishes,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,water,2,c,
dinner,bean and lentil dishes,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,pantry,salt,0.5,tsp,To taste
dinner,bean and lentil dishes,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,produce,cilantro,0.25,c,Chopped
dinner,bean and lentil dishes,basoli soup,https://cookieandkate.com/pinto-posole-recipe/,produce,lime,1,items,Halved
