type,category,meal,source,section,ingredient,amount,units,notes
dinner,pasta,vegan mac and cheese,https://cookieandkate.com/vegan-mac-and-cheese-recipe/,pantry,macaroni elbows,8,oz,Whole-grain
dinner,pasta,vegan mac and cheese,https://cookieandkate.com/vegan-mac-and-cheese-recipe/,produce,broccoli,1,head,Florets cut into small bites - optional
dinner,pasta,vegan mac and cheese,https://cookieandkate.com/vegan-mac-and-cheese-recipe/,pantry,avocado oil,1.5,T,Or extra-virgin olive oil
dinner,pasta,vegan mac and cheese,https://cookieandkate.com/vegan-mac-and-cheese-recipe/,produce,yellow onion,1,items,Small - chopped
dinner,pasta,vegan mac and cheese,https://cookieandkate.com/vegan-mac-and-cheese-recipe/,produce,russet potato,1,c,Peeled and grated
dinner,pasta,vegan mac and cheese,https://cookieandkate.com/vegan-mac-and-cheese-recipe/,produce,garlic,3,cloves,Pressed or minced
dinner,pasta,vegan mac and cheese,https://cookieandkate.com/vegan-mac-and-cheese-recipe/,pantry,garlic powder,0.5,tsp,
dinner,pasta,vegan mac and cheese,https://cookieandkate.com/vegan-mac-and-cheese-recipe/,pantry,onion powder,0.5,tsp,
dinner,pasta,vegan mac and cheese,https://cookieandkate.com/vegan-mac-and-cheese-recipe/,pantry,dry mustard powder,0.5,tsp,
dinner,pasta,vegan mac and cheese,https://cookieandkate.com/vegan-mac-and-cheese-recipe/,pantry,sea salt,0.5,tsp,More to taste
dinner,pasta,vegan mac and cheese,https://cookieandkate.com/vegan-mac-and-cheese-recipe/,pantry,red pepper flakes,1,pinch,Small
dinner,pasta,vegan mac and cheese,https://cookieandkate.com/vegan-mac-and-cheese-recipe/,bulk barn,raw cashews,0.67,c,
dinner,pasta,vegan mac and cheese,https://cookieandkate.com/vegan-mac-and-cheese-recipe/,pantry,water,1,c,More as necessary
dinner,pasta,vegan mac and cheese,https://cookieandkate.com/vegan-mac-and-cheese-recipe/,pantry,nutritional yeast,0.25,c,
dinner,pasta,vegan mac and cheese,https://cookieandkate.com/vegan-mac-and-cheese-recipe/,pantry,apple cider vinegar,2,tsp,Or distilled white vinegar
