type,category,meal,source,section,ingredient,amount,units,notes
breakfast,bean and lentil dishes,breakfast beans,https://feelgoodfoodie.net/recipe/ful-medames/,pantry,fava beans,2,cans,14 oz each
breakfast,bean and lentil dishes,breakfast beans,https://feelgoodfoodie.net/recipe/ful-medames/,pantry,chickpeas,1,can,15 oz
breakfast,bean and lentil dishes,breakfast beans,https://feelgoodfoodie.net/recipe/ful-medames/,pantry,cumin,1,tsp,
breakfast,bean and lentil dishes,breakfast beans,https://feelgoodfoodie.net/recipe/ful-medames/,pantry,kosher salt,0.5,tsp,
breakfast,bean and lentil dishes,breakfast beans,https://feelgoodfoodie.net/recipe/ful-medames/,pantry,olive oil,0.5,c,Extra virgin
breakfast,bean and lentil dishes,breakfast beans,https://feelgoodfoodie.net/recipe/ful-medames/,produce,lemon juice,0.25,c,
breakfast,bean and lentil dishes,breakfast beans,https://feelgoodfoodie.net/recipe/ful-medames/,produce,parsley,0.5,c,Chopped
breakfast,bean and lentil dishes,breakfast beans,https://feelgoodfoodie.net/recipe/ful-medames/,produce,garlic,4,cloves,Crushed
breakfast,bean and lentil dishes,breakfast beans,https://feelgoodfoodie.net/recipe/ful-medames/,produce,jalapenos,1,T,Chopped
breakfast,bean and lentil dishes,breakfast beans,https://feelgoodfoodie.net/recipe/ful-medames/,pantry,salt,1,tsp,To taste
breakfast,bean and lentil dishes,breakfast beans,https://feelgoodfoodie.net/recipe/ful-medames/,pantry,black pepper,1,tsp,To taste
