type,category,meal,source,section,ingredient,amount,units,notes
recipe,main dish,Minimalist Baker Buddha Bowl,https://minimalistbaker.com/sweet-potato-chickpea-buddha-bowl/,vegetables,olive oil,2,Tbsp,melted coconut or avocado oil
recipe,main dish,Minimalist Baker Buddha Bowl,https://minimalistbaker.com/sweet-potato-chickpea-buddha-bowl/,vegetables,red onion,0.5,medium,sliced in wedges
recipe,main dish,Minimalist Baker Buddha Bowl,https://minimalistbaker.com/sweet-potato-chickpea-buddha-bowl/,vegetables,sweet potatoes,2,small,halved
recipe,main dish,Minimalist Baker Buddha Bowl,https://minimalistbaker.com/sweet-potato-chickpea-buddha-bowl/,vegetables,broccolini,1,bundle,large stems removed // chopped
recipe,main dish,Minimalist Baker Buddha Bowl,https://minimalistbaker.com/sweet-potato-chickpea-buddha-bowl/,vegetables,kale,2,big handfuls,larger stems removed
recipe,main dish,Minimalist Baker Buddha Bowl,https://minimalistbaker.com/sweet-potato-chickpea-buddha-bowl/,vegetables,salt,0.25,tsp,each
recipe,main dish,Minimalist Baker Buddha Bowl,https://minimalistbaker.com/sweet-potato-chickpea-buddha-bowl/,vegetables,pepper,0.25,tsp,each
recipe,main dish,Minimalist Baker Buddha Bowl,https://minimalistbaker.com/sweet-potato-chickpea-buddha-bowl/,chickpeas,chickpeas,1,15-ounce can,"drained, rinsed + patted dry, usually roasted instead of frying"
recipe,main dish,Minimalist Baker Buddha Bowl,https://minimalistbaker.com/sweet-potato-chickpea-buddha-bowl/,chickpeas,cumin,1,tsp,
recipe,main dish,Minimalist Baker Buddha Bowl,https://minimalistbaker.com/sweet-potato-chickpea-buddha-bowl/,chickpeas,chili powder,0.75,tsp,
recipe,main dish,Minimalist Baker Buddha Bowl,https://minimalistbaker.com/sweet-potato-chickpea-buddha-bowl/,chickpeas,garlic powder,0.75,tsp,
recipe,main dish,Minimalist Baker Buddha Bowl,https://minimalistbaker.com/sweet-potato-chickpea-buddha-bowl/,chickpeas,salt,0.25,tsp,each
recipe,main dish,Minimalist Baker Buddha Bowl,https://minimalistbaker.com/sweet-potato-chickpea-buddha-bowl/,chickpeas,pepper,0.25,tsp,each
recipe,main dish,Minimalist Baker Buddha Bowl,https://minimalistbaker.com/sweet-potato-chickpea-buddha-bowl/,chickpeas,oregano,0.5,tsp,optional
recipe,main dish,Minimalist Baker Buddha Bowl,https://minimalistbaker.com/sweet-potato-chickpea-buddha-bowl/,chickpeas,turmeric,0.25,tsp,optional
recipe,main dish,Minimalist Baker Buddha Bowl,https://minimalistbaker.com/sweet-potato-chickpea-buddha-bowl/,tahini sauce,tahini,0.25,cup,optional - ARUGULA PESTO ALTERNATE
recipe,main dish,Minimalist Baker Buddha Bowl,https://minimalistbaker.com/sweet-potato-chickpea-buddha-bowl/,tahini sauce,maple syrup,1,Tbsp,
recipe,main dish,Minimalist Baker Buddha Bowl,https://minimalistbaker.com/sweet-potato-chickpea-buddha-bowl/,tahini sauce,lemon,0.5,medium,juiced
recipe,main dish,Minimalist Baker Buddha Bowl,https://minimalistbaker.com/sweet-potato-chickpea-buddha-bowl/,tahini sauce,hot water,2,Tbsp,to thin as needed
