type,category,meal,source,section,ingredient,amount,units,notes
recipe,main dish,Crispy Cauliflower Bites,https://lunarecipe.com/crispy-flavorful-meaty-cauliflower-bites/,main,Cauliflower,1,head,large
recipe,main dish,Crispy Cauliflower Bites,https://lunarecipe.com/crispy-flavorful-meaty-cauliflower-bites/,breading,Panko Breadcrumbs,1.25,cup,
recipe,main dish,Crispy Cauliflower Bites,https://lunarecipe.com/crispy-flavorful-meaty-cauliflower-bites/,seasoning,Garlic,1,clove,minced
recipe,main dish,Crispy Cauliflower Bites,https://lunarecipe.com/crispy-flavorful-meaty-cauliflower-bites/,seasoning,Olive Oil,5,tbsp,
recipe,main dish,Crispy Cauliflower Bites,https://lunarecipe.com/crispy-flavorful-meaty-cauliflower-bites/,seasoning,Italian Herb Blend,1,tsp,
recipe,main dish,Crispy Cauliflower Bites,https://lunarecipe.com/crispy-flavorful-meaty-cauliflower-bites/,seasoning,Paprika,0.75,tsp,
recipe,main dish,Crispy Cauliflower Bites,https://lunarecipe.com/crispy-flavorful-meaty-cauliflower-bites/,seasoning,Onion Powder,0.75,tsp,
recipe,main dish,Crispy Cauliflower Bites,https://lunarecipe.com/crispy-flavorful-meaty-cauliflower-bites/,seasoning,Salt,1,to taste,
recipe,main dish,Crispy Cauliflower Bites,https://lunarecipe.com/crispy-flavorful-meaty-cauliflower-bites/,seasoning,Black Pepper,1,to taste,
recipe,main dish,Crispy Cauliflower Bites,https://lunarecipe.com/crispy-flavorful-meaty-cauliflower-bites/,topping,Parmesan Cheese,0.5,cup,grated
recipe,main dish,Crispy Cauliflower Bites,https://lunarecipe.com/crispy-flavorful-meaty-cauliflower-bites/,binding,Eggs,3,whole,lightly beaten
recipe,main dish,Crispy Cauliflower Bites,https://lunarecipe.com/crispy-flavorful-meaty-cauliflower-bites/,coating,Tapioca Starch,0.5,cup,or cornstarch or flour
