type,category,meal,source,section,ingredient,amount,units,notes
dinner,noodles,green curry noodle salad,https://thecheekychickpea.com/ultimate-thai-noodle-salad-with-lemon-ginger-dressing/,pantry,noodles,227,g,Spaghettini or gluten-free
dinner,noodles,green curry noodle salad,https://thecheekychickpea.com/ultimate-thai-noodle-salad-with-lemon-ginger-dressing/,produce,red cabbage,1,c,Sliced thin
dinner,noodles,green curry noodle salad,https://thecheekychickpea.com/ultimate-thai-noodle-salad-with-lemon-ginger-dressing/,produce,green cabbage,1,c,Sliced thin
dinner,noodles,green curry noodle salad,https://thecheekychickpea.com/ultimate-thai-noodle-salad-with-lemon-ginger-dressing/,produce,bean sprouts,1,c,Fresh
dinner,noodles,green curry noodle salad,https://thecheekychickpea.com/ultimate-thai-noodle-salad-with-lemon-ginger-dressing/,produce,bell peppers,1,c,Mixed, sliced thin
dinner,noodles,green curry noodle salad,https://thecheekychickpea.com/ultimate-thai-noodle-salad-with-lemon-ginger-dressing/,produce,carrots,0.5,c,Grated
dinner,noodles,green curry noodle salad,https://thecheekychickpea.com/ultimate-thai-noodle-salad-with-lemon-ginger-dressing/,produce,green onions,0.33,c,Sliced thin
dinner,noodles,green curry noodle salad,https://thecheekychickpea.com/ultimate-thai-noodle-salad-with-lemon-ginger-dressing/,produce,mango,1,items,Peeled and chopped
dinner,noodles,green curry noodle salad,https://thecheekychickpea.com/ultimate-thai-noodle-salad-with-lemon-ginger-dressing/,bulk barn,peanuts,0.33,c,Unsalted and roasted
dinner,noodles,green curry noodle salad,https://thecheekychickpea.com/ultimate-thai-noodle-salad-with-lemon-ginger-dressing/,pantry,lemongrass paste,1,T,
dinner,noodles,green curry noodle salad,https://thecheekychickpea.com/ultimate-thai-noodle-salad-with-lemon-ginger-dressing/,pantry,thai green curry paste,2,tsp,
dinner,noodles,green curry noodle salad,https://thecheekychickpea.com/ultimate-thai-noodle-salad-with-lemon-ginger-dressing/,produce,ginger,1,tsp,Fresh, grated
dinner,noodles,green curry noodle salad,https://thecheekychickpea.com/ultimate-thai-noodle-salad-with-lemon-ginger-dressing/,pantry,tamari,1,T,
dinner,noodles,green curry noodle salad,https://thecheekychickpea.com/ultimate-thai-noodle-salad-with-lemon-ginger-dressing/,pantry,water,0.25,c,
dinner,noodles,green curry noodle salad,https://thecheekychickpea.com/ultimate-thai-noodle-salad-with-lemon-ginger-dressing/,pantry,rice wine vinegar,2,T,
dinner,noodles,green curry noodle salad,https://thecheekychickpea.com/ultimate-thai-noodle-salad-with-lemon-ginger-dressing/,pantry,sugar,1,T,Or maple syrup or agave
dinner,noodles,green curry noodle salad,https://thecheekychickpea.com/ultimate-thai-noodle-salad-with-lemon-ginger-dressing/,pantry,peanut butter,2,T,
dinner,noodles,green curry noodle salad,https://thecheekychickpea.com/ultimate-thai-noodle-salad-with-lemon-ginger-dressing/,produce,lime,1,items,Juiced and zested
dinner,noodles,green curry noodle salad,https://thecheekychickpea.com/ultimate-thai-noodle-salad-with-lemon-ginger-dressing/,produce,cilantro,1,T,Chopped
