type,category,meal,source,section,ingredient,amount,units,notes
dinner,bean and lentil dishes,black bean chili,https://cookieandkate.com/vegetarian-chili-recipe/ https://midwestfoodieblog.com/vegan-black-bean-chili/,produce,red onion,1,items,Medium
dinner,bean and lentil dishes,black bean chili,https://cookieandkate.com/vegetarian-chili-recipe/ https://midwestfoodieblog.com/vegan-black-bean-chili/,produce,bell pepper,1,items,Large
dinner,bean and lentil dishes,black bean chili,https://cookieandkate.com/vegetarian-chili-recipe/ https://midwestfoodieblog.com/vegan-black-bean-chili/,produce,carrots,2,items,Medium
dinner,bean and lentil dishes,black bean chili,https://cookieandkate.com/vegetarian-chili-recipe/ https://midwestfoodieblog.com/vegan-black-bean-chili/,produce,garlic,4,cloves,
dinner,bean and lentil dishes,black bean chili,https://cookieandkate.com/vegetarian-chili-recipe/ https://midwestfoodieblog.com/vegan-black-bean-chili/,pantry,chili powder,2,T,
dinner,bean and lentil dishes,black bean chili,https://cookieandkate.com/vegetarian-chili-recipe/ https://midwestfoodieblog.com/vegan-black-bean-chili/,pantry,ground cumin,2,tsp,
dinner,bean and lentil dishes,black bean chili,https://cookieandkate.com/vegetarian-chili-recipe/ https://midwestfoodieblog.com/vegan-black-bean-chili/,pantry,smoked paprika,1.5,tsp,
dinner,bean and lentil dishes,black bean chili,https://cookieandkate.com/vegetarian-chili-recipe/ https://midwestfoodieblog.com/vegan-black-bean-chili/,pantry,cayenne pepper,1,tsp,To taste
dinner,bean and lentil dishes,black bean chili,https://cookieandkate.com/vegetarian-chili-recipe/ https://midwestfoodieblog.com/vegan-black-bean-chili/,pantry,dried oregano,1,tsp,
dinner,bean and lentil dishes,black bean chili,https://cookieandkate.com/vegetarian-chili-recipe/ https://midwestfoodieblog.com/vegan-black-bean-chili/,pantry,diced tomatoes,28,oz,Canned
dinner,bean and lentil dishes,black bean chili,https://cookieandkate.com/vegetarian-chili-recipe/ https://midwestfoodieblog.com/vegan-black-bean-chili/,pantry,black beans,28,oz,Can
dinner,bean and lentil dishes,black bean chili,https://cookieandkate.com/vegetarian-chili-recipe/ https://midwestfoodieblog.com/vegan-black-bean-chili/,pantry,vegetable broth,2,c,
dinner,bean and lentil dishes,black bean chili,https://cookieandkate.com/vegetarian-chili-recipe/ https://midwestfoodieblog.com/vegan-black-bean-chili/,pantry,bay leaf,1,items,
dinner,bean and lentil dishes,black bean chili,https://cookieandkate.com/vegetarian-chili-recipe/ https://midwestfoodieblog.com/vegan-black-bean-chili/,produce,cilantro,2,T,Chopped
dinner,bean and lentil dishes,black bean chili,https://cookieandkate.com/vegetarian-chili-recipe/ https://midwestfoodieblog.com/vegan-black-bean-chili/,produce,lime juice,1,tsp,
